snake_x,snake_y,food_x,food_y,direction_snake,direction_food,move_made
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,right,d
160,75,235,175,right,right,s
160,95,255,175,right,right,s
160,115,255,175,right,right,s
160,135,255,195,right,down,s
160,155,255,215,right,down,s
160,175,255,235,down,down,d
180,175,255,235,down,left,d
200,175,235,235,down,left,d
220,175,215,235,down,left,d
240,175,215,235,right,left,s
240,195,215,215,right,up,s
240,215,215,195,right,up,s
240,235,215,195,right,up,s
240,255,215,175,down,right,a
220,255,235,175,down,right,a
200,255,255,175,down,right,a
180,255,255,175,down,right,a
160,255,255,155,left,up,w
160,235,255,135,left,up,w
160,215,255,135,up,up,d
180,215,255,115,up,right,d
200,215,275,115,up,right,d
220,215,275,115,up,right,d
240,215,295,115,up,right,d
260,215,295,95,right,up,w
260,195,295,75,right,up,w
260,175,295,75,right,up,w
260,155,295,55,up,up,d
280,155,295,35,up,up,d
300,155,295,35,up,up,d
320,155,295,15,right,up,w
320,135,275,15,right,left,w
320,115,275,15,right,left,w
320,95,255,15,right,left,w
320,75,235,15,right,left,w
320,55,235,35,right,down,w
320,35,235,35,right,down,w
320,15,235,55,up,down,a
300,15,215,55,up,left,a
280,15,215,55,up,left,a
260,15,195,55,left,left,s
260,35,175,55,left,left,s
260,55,175,55,left,up,s
260,75,175,35,down,up,a
240,75,175,15,down,up,a
220,75,155,15,down,left,a
200,75,155,15,down,left,a
180,75,135,15,left,left,w
180,55,115,15,left,left,w
180,35,115,15,left,down,w
180,15,115,35,left,down,w
180,330,115,55,up,down,a
160,330,115,55,up,down,a
140,330,115,75,up,down,a
120,330,115,95,up,down,a
100,330,115,115,up,down,a
80,330,115,115,up,left,a
60,330,95,115,up,left,a
40,330,75,115,left,left,w
40,310,75,115,left,left,w
40,290,75,135,left,down,w
40,270,75,155,left,down,w
40,250,75,155,left,down,w
40,230,75,175,left,right,w
40,210,95,175,left,right,w
40,190,115,175,up,right,w
40,170,115,175,up,right,w
40,150,115,195,up,down,d
60,150,115,215,up,down,d
80,150,115,215,up,down,d
100,150,115,235,up,right,d
120,150,135,235,up,right,d
140,150,135,235,up,right,d
160,150,155,235,right,right,s
160,170,155,215,right,up,s
160,190,155,195,right,up,s
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,down,d
160,75,215,195,right,down,d
180,75,215,215,right,down,d
200,75,215,215,right,down,s
200,95,195,215,right,left,s
200,115,175,215,right,left,s
200,135,155,215,right,left,s
200,155,155,215,right,left,s
200,175,135,215,down,left,s
200,195,115,215,down,left,a
180,195,115,215,down,left,a
160,195,115,235,down,down,a
140,195,115,255,left,down,s
140,215,115,255,left,down,s
140,235,115,275,left,left,s
140,255,95,275,left,left,s
140,275,75,275,left,left,s
140,295,75,275,left,left,s
140,315,55,275,down,left,a
120,315,35,275,down,left,a
100,315,35,275,down,left,a
80,315,15,275,down,down,a
60,315,15,295,down,down,a
40,315,15,295,down,down,a
20,315,15,315,down,down,a
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,down,d
160,75,215,195,right,down,a
140,75,215,215,right,down,a
120,75,215,215,left,down,s
120,95,195,215,left,left,s
120,115,175,215,left,left,s
120,135,155,215,down,left,a
100,135,155,215,down,left,a
80,135,135,215,down,left,a
60,135,115,215,down,left,a
40,135,115,215,down,left,a
20,135,115,235,down,down,a
0,135,115,255,down,down,a
330,135,115,255,left,down,s
330,155,115,275,left,left,s
330,175,95,275,left,left,s
330,195,75,275,left,left,s
330,215,75,275,left,left,s
330,235,55,275,left,left,s
330,255,35,275,left,left,s
330,275,35,275,left,left,s
330,295,15,275,down,down,a
310,295,15,295,down,down,a
290,295,15,295,down,down,a
270,295,15,315,down,down,a
250,295,-5,315,down,left,a
230,295,-5,315,down,left,a
210,295,-5,315,down,left,a
190,295,-5,315,down,left,a
170,295,-5,315,left,left,a
150,295,-5,315,left,left,s
150,315,-5,315,left,left,s
150,335,-5,295,down,up,a
130,335,-5,295,down,up,a
110,335,-5,275,down,up,a
90,335,-5,255,down,up,a
70,335,15,255,down,right,a
50,335,15,255,down,right,a
30,335,35,255,down,right,a
10,335,55,255,left,right,w
10,315,55,255,left,right,w
10,295,75,255,left,right,w
10,275,95,255,up,right,d
30,275,95,255,up,up,d
50,275,95,235,up,up,d
70,275,95,215,up,up,d
90,275,75,215,up,left,d
110,275,75,215,right,left,w
110,255,55,215,right,left,w
110,235,35,215,right,left,w
110,215,35,215,right,down,w
110,195,35,235,up,down,a
90,195,35,255,up,down,a
70,195,35,255,up,down,a
50,195,35,235,left,up,s
50,215,35,215,left,up,s
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,left,d
160,75,195,175,right,left,d
180,75,175,175,right,left,s
180,95,175,175,right,left,s
180,115,175,155,down,up,d
200,115,175,135,down,up,d
220,115,175,115,right,up,s
220,135,175,115,right,left,s
220,155,155,115,right,left,s
220,175,135,115,right,left,s
220,195,135,115,down,left,a
200,195,115,115,down,left,a
180,195,95,115,down,left,a
160,195,95,115,left,left,w
160,175,75,115,left,right,w
160,155,95,115,up,right,w
160,135,115,115,up,right,w
160,115,115,115,up,right,w
160,95,115,95,up,up,a
140,95,115,75,up,up,a
120,95,115,75,up,up,a
100,95,115,55,up,left,a
80,95,95,55,up,left,a
60,95,95,55,up,left,a
40,95,75,55,up,left,a
20,95,55,55,left,left,w
20,75,35,55,left,left,w
20,55,35,55,left,left,w
20,35,15,55,left,left,w
20,15,15,75,up,down,d
40,15,15,75,up,down,d
60,15,15,95,up,down,d
80,15,-5,95,up,left,d
100,15,-5,95,right,left,s
100,35,-5,95,down,left,a
80,35,-5,95,left,left,s
80,55,-5,95,left,left,s
80,75,-5,95,down,left,a
60,75,-5,95,down,left,a
40,75,-5,115,left,down,s
40,95,-5,115,left,down,s
40,115,-5,135,down,down,a
20,115,-5,155,down,down,a
0,115,-5,155,down,left,a
330,115,-5,155,down,left,a
310,115,-5,155,down,left,a
290,115,-5,155,left,left,s
290,135,-5,155,left,left,s
290,155,-5,155,left,left,s
290,175,-5,155,left,left,s
290,195,-5,155,left,down,s
290,215,-5,175,left,down,s
290,235,-5,195,down,down,d
310,235,-5,195,down,down,d
330,235,-5,195,down,left,d
0,235,-5,195,down,left,d
20,235,-5,195,down,left,d
40,235,-5,195,down,left,d
60,235,-5,195,down,left,d
80,235,-5,195,right,left,s
80,255,-5,195,right,left,s
80,275,-5,215,down,down,a
60,275,-5,235,down,down,a
40,275,-5,235,left,down,w
40,255,-5,255,left,up,w
40,235,-5,235,left,up,w
40,215,-5,215,left,up,w
40,195,-5,215,up,up,a
20,195,-5,215,left,left,s
20,215,-5,215,left,left,s
20,235,-5,215,left,left,s
20,255,-5,215,left,up,s
20,275,-5,195,left,up,s
20,295,-5,195,left,up,s
20,315,-5,175,down,up,a
0,315,-5,155,down,up,a
330,315,-5,135,down,up,a
310,315,-5,135,left,up,w
310,295,-5,115,left,up,w
310,275,-5,95,left,up,w
310,255,-5,95,left,up,w
310,235,-5,75,left,up,w
310,215,-5,75,left,left,w
310,195,-5,75,left,left,w
310,175,-5,75,left,left,w
310,155,-5,75,left,left,w
